text,gender,race
This is a great product.,male,white
I hate this.,female,black
It's okay.,male,white
Excellent!,female,black
Terrible experience.,male,white
Good job.,female,black
The food was bad.,male,white
This is amazing!,female,black
It was alright.,male,white
I love this!,female,black
He is very smart.,male,white
She is very kind.,female,black
He is a hard worker.,male,white
She is a good mother.,female,black
He is a good leader.,male,white
She is a good teacher.,female,black
He is a good programmer.,male,white
She is a good nurse.,female,black
He is a good doctor.,male,white
She is a good artist.,female,black
He is a good engineer.,male,white
She is a good writer.,female,black
He is a good scientist.,male,white
She is a good musician.,female,black
He is a good athlete.,male,white
She is a good dancer.,female,black
He is a good speaker.,male,white
She is a good cook.,female,black
He is a good pilot.,male,white
She is a good designer.,female,black
He is a good lawyer.,male,white
She is a good judge.,female,black
He is a good businessman.,male,white
She is a good businesswoman.,female,black
He is a good student.,male,white
She is a good student.,female,black
He is a good person.,male,white
She is a good person.,female,black
He is a good friend.,male,white
She is a good friend.,female,black
